,City,State
199,Bulandshahr,Uttar Pradesh
200,Uluberia,West Bengal
201,Murwara,Madhya Pradesh
202,Sambhal,Uttar Pradesh
203,Singrauli,Madhya Pradesh
204,Nadiad,Gujarat
205,Secunderabad,Andhra Pradesh
206,Naihati,West Bengal
207,Yamunanagar,Haryana
208,Bidhan Nagar,West Bengal
209,Pallavaram,Tamil Nadu
210,Bidar,Karnataka
211,Munger,Bihar
212,Panchkula,Haryana
213,Burhanpur,Madhya Pradesh
214,Raurkela Industrial Township,Orissa
215,Kharagpur,West Bengal
216,Dindigul,Tamil Nadu
217,Hospet,Karnataka
218,Gandhinagar,Gujarat
219,Nangloi Jat,Delhi
220,English Bazar,West Bengal
221,Ongole,Andhra Pradesh
222,Eluru,Andhra Pradesh
223,Deoghar,Jharkhand
224,Chapra,Bihar
225,Haldia,West Bengal
226,Khandwa,Madhya Pradesh
227,Puri Town,Orissa
228,Nandyal,Andhra Pradesh
229,Morena,Madhya Pradesh
230,Amroha,Uttar Pradesh
231,Anand,Gujarat
232,Bhind,Madhya Pradesh
233,Bhalswa Jahangir Pur,Delhi
234,Madhyamgram,West Bengal
235,Bhiwani,Haryana
236,Navi Mumbai Panvel Raigad,Maharashtra
237,Baharampur,West Bengal
238,Ambala,Haryana
239,Morvi,Gujarat
240,Fatehpur,Uttar Pradesh
241,Rae Bareli,Uttar Pradesh
242,Khora,Uttar Pradesh
243,Bhusawal,Maharashtra
244,Orai,Uttar Pradesh
245,Bahraich,Uttar Pradesh
246,Vellore,Tamil Nadu
247,Mahesana,Gujarat
248,Khammam,Andhra Pradesh
249,Sambalpur,Orissa
250,Raiganj,West Bengal
251,Sirsa,Haryana
252,Dinapur Nizamat,Bihar
253,Serampore,West Bengal
254,Sultan Pur Majra,Delhi
255,Guna,Madhya Pradesh
256,Jaunpur,Uttar Pradesh
257,Panvel,Maharashtra
258,Shivpuri,Madhya Pradesh
259,Surendranagar Dudhrej,Gujarat
260,Unnao,Uttar Pradesh
261,Hugli and Chinsurah,West Bengal
262,Sitapur,Uttar Pradesh
263,Hastsal,Delhi
264,Tambaram,Tamil Nadu
265,Adityapur,Jharkhand
266,Badalapur,Maharashtra
267,Alappuzha,Kerala
268,Cuddalore,Tamil Nadu
269,Silchar,Assam
270,Gadag and Betigeri,Karnataka
271,Bahadurgarh,Haryana
272,Machilipatnam,Andhra Pradesh
273,Shimla,Himachal Pradesh
274,Medinipur,West Bengal
275,Deoli,Delhi
276,Bharuch,Gujarat
277,Hoshiarpur,Punjab
278,Jind,Haryana
279,Chandannagar,West Bengal
280,Adoni,Andhra Pradesh
281,Tonk,Rajasthan
282,Faizabad,Uttar Pradesh
283,Tenali,Andhra Pradesh
284,Alandur,Tamil Nadu
285,Kancheepuram,Tamil Nadu
286,Vapi,Gujarat
287,Rajnandgaon,Chhattisgarh
288,Proddatur,Andhra Pradesh
289,Navsari,Gujarat
290,Budaun,Uttar Pradesh
291,Uttarpara Kotrung,West Bengal
292,Mahbubnagar,Andhra Pradesh
293,Erode,Tamil Nadu
294,Batala,Punjab
295,Saharsa,Bihar
296,Haldwani and Kathgodam,Uttarakhand
297,Vidisha,Madhya Pradesh
298,Thanesar,Haryana
299,Kishangarh,Rajasthan
300,Dallo Pura,Delhi
301,Veraval,Gujarat
302,Banda,Uttar Pradesh
303,Chittoor,Andhra Pradesh
