,Reg. Year,Sex,Age,Basic Qualification,Additional Qualification,State
818,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
819,2014,Male,29,MBBS Agartala Government Medical College Tripura University,,tripura
820,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
821,2014,Male,29,MBBS Agartala Government Medical College Tripura University,,tripura
822,2014,Female,28,MBBS Agartala Government Medical College Tripura University,,tripura
823,2014,Female,29,MBBS Agartala Government Medical College Tripura University,,tripura
824,2014,Female,28,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
825,2014,Female,28,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
826,2014,Female,29,MBBS Agartala Government Medical College Tripura University,,tripura
827,2014,Female,28,MBBS Agartala Government Medical College Tripura University,,tripura
828,2014,Female,29,MBBS Agartala Government Medical College Tripura University,,tripura
829,2014,Male,29,MBBS Agartala Government Medical College Tripura University,,tripura
830,2014,Male,29,MBBS Agartala Government Medical College Tripura University,,tripura
831,2014,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
832,2014,Female,28,MBBS Agartala Government Medical College Tripura University,,tripura
833,2014,Male,49,MBBS MGM Medical College Indore DA Vishwabidyalaya Indore,,tripura
834,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
835,2014,Male,28,MBBS Regional Medical College Imphal Manipur University,MD Obstetrics Gynaecology Manipur University,tripura
836,2014,Female,29,MBBS Agartala Government Medical College Tripura University,,mizoram
837,2014,Male,29,MBBS Agartala Government Medical College Tripura University,,mizoram
838,2014,Female,28,MBBS Agartala Government Medical College Tripura University,,tripura
839,2014,Female,28,MBBS Agartala Government Medical College Tripura University,,tripura
840,2014,Female,29,MBBS Agartala Government Medical College Tripura University,,tripura
841,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
842,2014,Male,29,MBBS Agartala Government Medical College Tripura University,,nagaland
843,2014,Female,29,MBBS Agartala Government Medical College Tripura University,,tripura
844,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
845,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
846,2014,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
847,2014,Male,29,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
848,2014,Male,29,MBBS Agartala Government Medical College Tripura University,,tripura
849,2014,Female,29,MBBS Agartala Government Medical College Tripura University,,tripura
850,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
851,2014,Female,28,MBBS Agartala Government Medical College Tripura University,,tripura
852,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
853,2014,Male,74,MBBS Gauhati University,DGOThe College of Physicians and Surgeons of Bombay,manipur
854,2014,Male,70,MBBS Calcutta University,Diploma in Medical Radiology Therapeutic Calcutta University,tripura
855,2014,Male,64,MBBS Nagpur University,,tripura
856,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
857,2014,Male,53,MBBS Regional Medical College Imphal Manipur University,MSOtorhinolaryngologyManipur University,tripura
858,2014,Male,27,MBBS Agartala Government Medical College Tripura University,,tripura
859,2014,Female,30,MBBS Agartala Government Medical College Tripura University,,tripura
860,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
861,2014,Male,57,MBBS Calcutta University,,tripura
863,2014,Female,28,MBBS Agartala Government Medical College Tripura University,,tripura
864,2014,Female,28,MBBS Agartala Government Medical College Tripura University,,tripura
865,2014,Male,29,MBBS Agartala Government Medical College Tripura University,,tripura
866,2014,Male,29,MBBS Agartala Government Medical College Tripura University,,tripura
867,2014,Male,44,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
868,2014,Male,28,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,haryana
869,2014,Male,51,MBBS North Eastern Regional Medical College Imphol Manipur University,MD Psychiatry Manipur University,tripura
870,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,meghalaya
871,2014,Female,28,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,haryana
872,2014,Female,29,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,chhattisgarh
873,2014,Male,29,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
